ticker,date,missing_required,missing_required_frac
4BY.DE,2026-02-20,8,0.13793103448275862
7A2.DE,2026-02-20,8,0.13793103448275862
A8B.DE,2026-02-20,8,0.13793103448275862
AD2.DE,2026-02-20,8,0.13793103448275862
ADVT,2026-02-20,8,0.13793103448275862
ALNMR.PA,2026-02-20,8,0.13793103448275862
ANGS.L,2026-02-20,8,0.13793103448275862
AQUC,2026-02-20,8,0.13793103448275862
BANT,2026-02-20,8,0.13793103448275862
BOWN,2026-02-20,8,0.13793103448275862
BXRXQ,2026-02-20,8,0.13793103448275862
C6T.DE,2026-02-20,8,0.13793103448275862
CHALF,2026-02-20,8,0.13793103448275862
CHU.DE,2026-02-20,8,0.13793103448275862
CXGH.DE,2026-02-20,8,0.13793103448275862
EEP.MC,2026-02-20,8,0.13793103448275862
EK7.DE,2026-02-20,8,0.13793103448275862
FJZ.DE,2026-02-20,8,0.13793103448275862
FP.L,2026-02-20,8,0.13793103448275862
FTII,2026-02-20,8,0.13793103448275862
GENNQ,2026-02-20,8,0.13793103448275862
GGAAF,2026-02-20,8,0.13793103448275862
GLPG.BR,2026-02-20,8,0.13793103448275862
GLSHQ,2026-02-20,8,0.13793103448275862
GNCAQ,2026-02-20,8,0.13793103448275862
GRP.IR,2026-02-20,8,0.13793103448275862
HCANF,2026-02-20,8,0.13793103448275862
HE1.F,2026-02-20,8,0.13793103448275862
HELD.L,2026-02-20,8,0.13793103448275862
HFEL,2026-02-20,8,0.13793103448275862
HYREQ,2026-02-20,8,0.13793103448275862
ICK.DE,2026-02-20,8,0.13793103448275862
ISE.MC,2026-02-20,8,0.13793103448275862
JIX.DE,2026-02-20,8,0.13793103448275862
KNB.L,2026-02-20,8,0.13793103448275862
LEV.MC,2026-02-20,8,0.13793103448275862
MJARF,2026-02-20,8,0.13793103448275862
MODE.L,2026-02-20,8,0.13793103448275862
NUMI.TO,2026-02-20,8,0.13793103448275862
NUVOQ,2026-02-20,8,0.13793103448275862
ODTC,2026-02-20,8,0.13793103448275862
OREAF,2026-02-20,8,0.13793103448275862
PJXC.DE,2026-02-20,8,0.13793103448275862
PRCX,2026-02-20,8,0.13793103448275862
PRIS.L,2026-02-20,8,0.13793103448275862
RCAR,2026-02-20,8,0.13793103448275862
RENO,2026-02-20,8,0.13793103448275862
RVLPQ,2026-02-20,8,0.13793103448275862
SESG.MX,2026-02-20,8,0.13793103448275862
STMH,2026-02-20,8,0.13793103448275862
TGR.L,2026-02-20,8,0.13793103448275862
UBS.MC,2026-02-20,8,0.13793103448275862
VGFCQ,2026-02-20,8,0.13793103448275862
W3U.DE,2026-02-20,8,0.13793103448275862
XEKT.MC,2026-02-20,8,0.13793103448275862
02G.DU,2026-02-20,6,0.10344827586206896
0GS.DU,2026-02-20,6,0.10344827586206896
0ME.DU,2026-02-20,6,0.10344827586206896
0NU.DU,2026-02-20,6,0.10344827586206896
0PY.DU,2026-02-20,6,0.10344827586206896
0Q0.DU,2026-02-20,6,0.10344827586206896
0Q2.DU,2026-02-20,6,0.10344827586206896
0QN.DU,2026-02-20,6,0.10344827586206896
1IG.DU,2026-02-20,6,0.10344827586206896
1Q5.DU,2026-02-20,6,0.10344827586206896
1X8.DU,2026-02-20,6,0.10344827586206896
2CK.DU,2026-02-20,6,0.10344827586206896
2CP.DU,2026-02-20,6,0.10344827586206896
2QO.DU,2026-02-20,6,0.10344827586206896
32A.DU,2026-02-20,6,0.10344827586206896
36E.DU,2026-02-20,6,0.10344827586206896
3HH.DU,2026-02-20,6,0.10344827586206896
45T.DU,2026-02-20,6,0.10344827586206896
4LRA.DU,2026-02-20,6,0.10344827586206896
6BF.DU,2026-02-20,6,0.10344827586206896
6Q81.DU,2026-02-20,6,0.10344827586206896
7VS.DU,2026-02-20,6,0.10344827586206896
8JO1.DU,2026-02-20,6,0.10344827586206896
8QR.DU,2026-02-20,6,0.10344827586206896
A6N.DU,2026-02-20,6,0.10344827586206896
AAMCF,2026-02-20,6,0.10344827586206896
ALCAR.PA,2026-02-20,6,0.10344827586206896
ALE.DU,2026-02-20,6,0.10344827586206896
ALFIQ,2026-02-20,6,0.10344827586206896
ATHXQ,2026-02-20,6,0.10344827586206896
BKJ.DU,2026-02-20,6,0.10344827586206896
BRYN,2026-02-20,6,0.10344827586206896
BZZ.DU,2026-02-20,6,0.10344827586206896
C7N.DU,2026-02-20,6,0.10344827586206896
CFX.DU,2026-02-20,6,0.10344827586206896
CH6.DU,2026-02-20,6,0.10344827586206896
CO6.DU,2026-02-20,6,0.10344827586206896
CRZK.DE,2026-02-20,6,0.10344827586206896
CS2.DU,2026-02-20,6,0.10344827586206896
CSSEQ,2026-02-20,6,0.10344827586206896
DG3.DU,2026-02-20,6,0.10344827586206896
DUT.DU,2026-02-20,6,0.10344827586206896
E3G1.DU,2026-02-20,6,0.10344827586206896
EGOXF,2026-02-20,6,0.10344827586206896
ETAOF,2026-02-20,6,0.10344827586206896
FFV.DU,2026-02-20,6,0.10344827586206896
FRK.DU,2026-02-20,6,0.10344827586206896
FS5A.DU,2026-02-20,6,0.10344827586206896
FTCHQ,2026-02-20,6,0.10344827586206896
FZM.DU,2026-02-20,6,0.10344827586206896
HDP1.DU,2026-02-20,6,0.10344827586206896
HO2.DU,2026-02-20,6,0.10344827586206896
HUKI.DU,2026-02-20,6,0.10344827586206896
I8U.DU,2026-02-20,6,0.10344827586206896
IDI.DU,2026-02-20,6,0.10344827586206896
INFIQ,2026-02-20,6,0.10344827586206896
INTO,2026-02-20,6,0.10344827586206896
IVCAF,2026-02-20,6,0.10344827586206896
IVST,2026-02-20,6,0.10344827586206896
IWG.DU,2026-02-20,6,0.10344827586206896
K34.DU,2026-02-20,6,0.10344827586206896
KAP.DU,2026-02-20,6,0.10344827586206896
KCH.DU,2026-02-20,6,0.10344827586206896
KEK.DU,2026-02-20,6,0.10344827586206896
LN3.DU,2026-02-20,6,0.10344827586206896
MAQC,2026-02-20,6,0.10344827586206896
MGG.DU,2026-02-20,6,0.10344827586206896
MILA.DU,2026-02-20,6,0.10344827586206896
MMATQ,2026-02-20,6,0.10344827586206896
N7I.DU,2026-02-20,6,0.10344827586206896
NF0.DU,2026-02-20,6,0.10344827586206896
NKB2.DU,2026-02-20,6,0.10344827586206896
NNM.DU,2026-02-20,6,0.10344827586206896
ODF.DU,2026-02-20,6,0.10344827586206896
ONCSQ,2026-02-20,6,0.10344827586206896
OST,2026-02-20,6,0.10344827586206896
PHCFF,2026-02-20,6,0.10344827586206896
PR4.DU,2026-02-20,6,0.10344827586206896
PRP.DU,2026-02-20,6,0.10344827586206896
PW2.DU,2026-02-20,6,0.10344827586206896
QDI.DU,2026-02-20,6,0.10344827586206896
QMMM,2026-02-20,6,0.10344827586206896
RC8.DU,2026-02-20,6,0.10344827586206896
RPU.DU,2026-02-20,6,0.10344827586206896
S6IA.DU,2026-02-20,6,0.10344827586206896
SAYN.DU,2026-02-20,6,0.10344827586206896
SGJH.DU,2026-02-20,6,0.10344827586206896
SHZH.DU,2026-02-20,6,0.10344827586206896
STIXF,2026-02-20,6,0.10344827586206896
SVKB.DU,2026-02-20,6,0.10344827586206896
THMO,2026-02-20,6,0.10344827586206896
TM1.L,2026-02-20,6,0.10344827586206896
TUEMQ,2026-02-20,6,0.10344827586206896
UI51.DU,2026-02-20,6,0.10344827586206896
UOF.DU,2026-02-20,6,0.10344827586206896
US3.DU,2026-02-20,6,0.10344827586206896
UZQ.DU,2026-02-20,6,0.10344827586206896
V4OC.DU,2026-02-20,6,0.10344827586206896
WA3.DU,2026-02-20,6,0.10344827586206896
X2S.DU,2026-02-20,6,0.10344827586206896
XIN.DU,2026-02-20,6,0.10344827586206896
YRRA.DU,2026-02-20,6,0.10344827586206896
YUE1.DU,2026-02-20,6,0.10344827586206896
ZNHH.DU,2026-02-20,6,0.10344827586206896
0OK.DU,2026-02-20,4,0.06896551724137931
0TL.DU,2026-02-20,4,0.06896551724137931
0V6.DU,2026-02-20,4,0.06896551724137931
19H.DU,2026-02-20,4,0.06896551724137931
1G2.DU,2026-02-20,4,0.06896551724137931
1XNA.DU,2026-02-20,4,0.06896551724137931
2B4.DU,2026-02-20,4,0.06896551724137931
2LB.DU,2026-02-20,4,0.06896551724137931
2QK.DU,2026-02-20,4,0.06896551724137931
34U.DU,2026-02-20,4,0.06896551724137931
3BX.DU,2026-02-20,4,0.06896551724137931
4BW.DU,2026-02-20,4,0.06896551724137931
8FR.DU,2026-02-20,4,0.06896551724137931
8T8.DU,2026-02-20,4,0.06896551724137931
9SH.DU,2026-02-20,4,0.06896551724137931
AGT.DU,2026-02-20,4,0.06896551724137931
AK3.DU,2026-02-20,4,0.06896551724137931
ALCE,2026-02-20,4,0.06896551724137931
ALHGO.PA,2026-02-20,4,0.06896551724137931
AS7.DU,2026-02-20,4,0.06896551724137931
ASAPQ,2026-02-20,4,0.06896551724137931
ASI1.DU,2026-02-20,4,0.06896551724137931
BMMJ,2026-02-20,4,0.06896551724137931
BRAXF,2026-02-20,4,0.06896551724137931
BYNO,2026-02-20,4,0.06896551724137931
